country_or_region,overall_rank,gdp_per_capita,healthy_life_expectancy,freedom_to_make_life_choices,latitude,longitude
Ivory Coast,99,0.569,0.232,0.352,7.9897371,-5.5679458
Nepal,100,0.446,0.677,0.439,28.1083929,84.0917139
Jordan,101,0.837,0.815,0.383,31.1667049,36.941628
Benin,102,0.393,0.397,0.349,9.5293472,2.2584408
Congo (Brazzaville),103,0.673,0.508,0.372,-0.7264327,15.6419155
Gabon,104,1.057,0.571,0.295,-0.8999695,11.6899699
Laos,105,0.764,0.551,0.547,20.0171109,103.378253
South Africa,106,0.96,0.469,0.389,-28.8166236,24.991639
Albania,107,0.947,0.874,0.383,41.000028,19.9999619
Venezuela,108,0.96,0.805,0.154,8.0018709,-66.1109318
Cambodia,109,0.574,0.637,0.609,13.5066394,104.869423
Palestinian Territories,110,0.657,0.672,0.225,31.462420950000002,34.262716572130714
Senegal,111,0.45,0.571,0.292,14.4750607,-14.4529612
Somalia,112,0.0,0.268,0.559,8.3676771,49.083416
Namibia,113,0.879,0.477,0.401,-23.2335499,17.3231107
Niger,114,0.138,0.366,0.318,17.7356214,9.3238432
Burkina Faso,115,0.331,0.38,0.255,12.0753083,-1.6880314
Armenia,116,0.85,0.815,0.283,40.7696272,44.6736646
Iran,117,1.1,0.785,0.305,32.6475314,54.5643516
Guinea,118,0.38,0.375,0.332,10.7226226,-10.7083587
Georgia,119,0.886,0.752,0.346,32.3293809,-83.1137366
Gambia,120,0.308,0.428,0.382,13.470062,-15.4900464
Kenya,121,0.512,0.581,0.431,1.4419683,38.4313975
Mauritania,122,0.57,0.489,0.066,20.2540382,-9.2399263
Mozambique,123,0.204,0.39,0.494,-19.302233,34.9144977
Tunisia,124,0.921,0.815,0.167,33.8439408,9.400138
Bangladesh,125,0.562,0.723,0.527,24.4769288,90.2934413
Iraq,126,1.043,0.574,0.241,33.0955793,44.1749775
Congo (Kinshasa),127,0.094,0.357,0.269,-2.9814344,23.8222636
Mali,128,0.385,0.308,0.327,16.3700359,-2.2900239
Sierra Leone,129,0.268,0.242,0.309,8.6400349,-11.8400269
Sri Lanka,130,0.949,0.831,0.47,7.5554942,80.7137847
Myanmar,131,0.71,0.555,0.525,17.1750495,95.9999652
Chad,132,0.35,0.192,0.174,15.6134137,19.0156172
Ukraine,133,0.82,0.739,0.178,49.4871968,31.2718321
Ethiopia,134,0.336,0.532,0.344,10.2116702,38.6521203
Swaziland,135,0.811,0.0,0.313,-26.5624806,31.3991317
Uganda,136,0.332,0.443,0.356,1.5333554,32.2166578
Egypt,137,0.913,0.644,0.241,26.2540493,29.2675469
Zambia,138,0.578,0.426,0.431,-14.5189121,27.5589884
Togo,139,0.275,0.41,0.293,8.7800265,1.0199765
India,140,0.755,0.588,0.498,22.3511148,78.6677428
Liberia,141,0.073,0.443,0.37,5.7499721,-9.3658524
Comoros,142,0.274,0.505,0.142,-12.2045176,44.2832964
Madagascar,143,0.274,0.555,0.148,-18.9249604,46.4416422
Lesotho,144,0.489,0.168,0.359,-29.6039267,28.3350193
Burundi,145,0.046,0.38,0.22,-3.426449,29.9324519
Zimbabwe,146,0.366,0.433,0.361,-18.4554963,29.7468414
Haiti,147,0.323,0.449,0.026,19.1399952,-72.3570972
Botswana,148,1.041,0.538,0.455,-23.1681782,24.5928742
Syria,149,0.619,0.44,0.013,34.6401861,39.0494106
Malawi,150,0.191,0.495,0.443,-13.2687204,33.9301963
Yemen,151,0.287,0.463,0.143,16.3471243,47.8915271
Rwanda,152,0.359,0.614,0.555,-1.9646631,30.0644358
Tanzania,153,0.476,0.499,0.417,-6.5247123,35.7878438
Afghanistan,154,0.35,0.361,0.0,33.7680065,66.2385139
Central African Republic,155,0.026,0.105,0.225,7.0323598,19.9981227
South Sudan,156,0.306,0.295,0.01,7.8699431,29.6667897
